,mean,ir,t,pos_ratio,n_months,yearly_means,n_stocks
2,-0.01904400471254553,-0.2991475508293526,-3.436943692595271,0.3939393939393939,132,"{2015: np.float64(0.018962623148027442), 2016: np.float64(-0.011366685449715424), 2017: np.float64(-0.06314312763304271), 2018: np.float64(-0.023865866150141645), 2019: np.float64(-0.01802865609335674), 2020: np.float64(-0.04428138901862294), 2021: np.float64(-0.01365711551706235), 2022: np.float64(-0.02166267339539138), 2023: np.float64(0.013195913268295632), 2024: np.float64(-0.03338486629553083), 2025: np.float64(-0.0122522087014599)}",2010
3,-0.015173029618380289,-0.29740020919712556,-3.4168682656528055,0.4090909090909091,132,"{2015: np.float64(0.006373198263001222), 2016: np.float64(-0.0003746877587038327), 2017: np.float64(-0.04578318535453749), 2018: np.float64(-0.020678112460831562), 2019: np.float64(-0.003362522752033385), 2020: np.float64(-0.041740635742603664), 2021: np.float64(-0.014623120949028354), 2022: np.float64(-0.018400830097878348), 2023: np.float64(0.015526466039684573), 2024: np.float64(-0.025584072820443105), 2025: np.float64(-0.018255822168809225)}",1501
4,-0.014826062684247325,-0.29798804559307923,-3.4236219916577477,0.3939393939393939,132,"{2015: np.float64(-0.008062271644800445), 2016: np.float64(-0.009596705028257936), 2017: np.float64(-0.036035231722497806), 2018: np.float64(-0.010870422228409275), 2019: np.float64(-0.002784309511420191), 2020: np.float64(-0.03893883527780392), 2021: np.float64(-0.014472498385649657), 2022: np.float64(-0.012622142639325222), 2023: np.float64(0.009715931618198568), 2024: np.float64(-0.017117568083383147), 2025: np.float64(-0.022302636623371532)}",1145
5,-0.01738176214047842,-0.3355192057362222,-3.8548221929368194,0.3787878787878788,132,"{2015: np.float64(-0.0065281638269673375), 2016: np.float64(-0.013479011730827993), 2017: np.float64(-0.030950996535727332), 2018: np.float64(-0.024018590790057266), 2019: np.float64(-0.010890473736307374), 2020: np.float64(-0.025528531200744897), 2021: np.float64(-0.0159829928924014), 2022: np.float64(-0.026281226009616385), 2023: np.float64(0.00334718606468954), 2024: np.float64(-0.011198453055759144), 2025: np.float64(-0.029688129831543047)}",830
6,-0.0156805106856367,-0.29077458764006975,-3.3407456694392863,0.3787878787878788,132,"{2015: np.float64(-0.013595956510792226), 2016: np.float64(-0.01578984279116261), 2017: np.float64(-0.021412829840013633), 2018: np.float64(-0.012548082202408653), 2019: np.float64(-0.01790545564216293), 2020: np.float64(-0.018448995799261927), 2021: np.float64(-0.027783634069603883), 2022: np.float64(-0.01655347281166424), 2023: np.float64(0.005615578955742567), 2024: np.float64(0.0025570740376570284), 2025: np.float64(-0.03662000086833318)}",575
