date,rank_ic
2025-01-02,-0.03340482402656491
2025-01-03,0.06686076778143073
2025-01-06,0.004853275101567193
2025-01-07,-0.06421919766937928
2025-01-08,0.050216925622421936
2025-01-09,-0.03530129591551511
2025-01-10,0.060499852086583164
2025-01-13,-0.024763091401744337
2025-01-14,-0.013329996820812323
2025-01-15,0.005486180231300483
2025-01-16,-0.03079449825711541
2025-01-17,0.03566815593959373
2025-01-20,0.013469135566234317
2025-01-21,0.07587938988931954
2025-01-22,0.03935925124037614
2025-01-23,-0.03303795864035894
2025-01-24,0.021805536216863073
2025-01-27,0.0046734375502623425
2025-02-05,-0.07868312353901975
2025-02-06,-0.007113080150165604
2025-02-07,0.017207398058398743
2025-02-10,-0.0941608383826838
2025-02-11,0.041967785770940756
2025-02-12,-0.0012411587657427945
2025-02-13,-0.04623272082686424
2025-02-14,0.031358568026303824
2025-02-17,-0.02511852625757205
2025-02-18,0.057123453187539676
2025-02-19,0.019280010118916165
2025-02-20,-0.02577387812277693
2025-02-21,0.03922811755564806
2025-02-24,-0.011538001796585378
2025-02-25,0.011886014366722488
2025-02-26,0.012493163429684668
2025-02-27,-0.015018026831178422
2025-02-28,0.012492540936199257
2025-03-03,-0.02688310167445328
2025-03-04,-0.016386737064238585
2025-03-05,0.0037548024687923294
2025-03-06,-0.023202752090114808
2025-03-07,0.04615411470183771
2025-03-10,-0.01615175816805079
2025-03-11,-0.007081908342342503
2025-03-12,-0.0043258119727148945
2025-03-13,0.00181024279616234
2025-03-14,0.0031431894091626094
2025-03-17,-0.03420035516739909
2025-03-18,-0.009273243609236296
2025-03-19,0.012113720079862979
2025-03-20,-0.0015366095893919957
2025-03-21,-0.01801383521882861
2025-03-24,0.10618537731446553
2025-03-25,-0.03565096138209716
2025-03-26,-0.05180983159990513
2025-03-27,0.023632373051178025
2025-03-28,0.07310765255091398
2025-03-31,0.057229998286216846
2025-04-01,-0.03550285889032464
2025-04-02,0.020179287742593865
2025-04-03,-0.07414618779056496
2025-04-07,-0.002606608589646097
2025-04-08,-0.044182980525561154
2025-04-09,-0.05881709255852423
2025-04-10,-0.002188970083389438
2025-04-11,-0.012946987766077616
2025-04-14,-0.029225226113510337
2025-04-15,-0.05060541600546449
2025-04-16,-0.02151087568776839
2025-04-17,-0.09524487261302182
2025-04-18,0.024623430984836495
2025-04-21,0.01680502964608482
2025-04-22,-0.07801761669367947
2025-04-23,0.04582519257982181
2025-04-24,-0.022270120190127148
2025-04-25,0.028310837050599
2025-04-28,0.006028201722191292
2025-04-29,-0.034037696139429946
2025-04-30,0.00930539296447256
2025-05-06,-0.033838883029380505
2025-05-07,-0.044168513050281674
2025-05-08,-0.041795515236577506
2025-05-09,-0.06595407772580954
2025-05-12,0.058351374778219035
2025-05-13,0.004052999759876528
2025-05-14,-0.04536888115660075
2025-05-15,-0.09363681101684168
2025-05-16,-0.019702866291358576
2025-05-19,-0.10468851980937409
2025-05-20,-0.06560653538777136
2025-05-21,0.0021647622912797366
2025-05-22,-0.00022098492078969313
2025-05-23,0.023220458872094122
2025-05-26,-0.051978987625499525
2025-05-27,-0.10337984381155395
2025-05-28,0.04166732482481988
2025-05-29,-0.0011185779358061315
2025-05-30,0.011299657686241575
2025-06-03,-0.051923191291684566
2025-06-04,-0.006611613728721791
2025-06-05,0.025217930160800397
2025-06-06,-0.06349027968936873
2025-06-09,-0.01216828670232045
2025-06-10,-0.03547923757604011
2025-06-11,0.038438382252630396
2025-06-12,-0.010218899442446137
2025-06-13,-0.013339411571984048
2025-06-16,-0.04799866023192499
2025-06-17,-0.008789975346521445
2025-06-18,0.05342455136989832
2025-06-19,0.05412871449428356
2025-06-20,-0.04974740803368721
2025-06-23,-0.08093052340640441
2025-06-24,0.009977605151762126
