experiment,factor,ic_mean,ir,t,pos_rate,n_years
baseline,CoverageBreadth,0.05874687642774414,0.4059690269789485,1.3464469389948408,0.5454545454545454,11
baseline,HiddenRatio,-0.005758211211738895,-0.05335052575463216,-0.17694367629630722,0.45454545454545453,11
baseline,StealthScore,0.001477396345964181,0.012259883982384829,0.04066143514285861,0.45454545454545453,11
baseline,HiddenCount,0.013980508129774815,0.10316432198543352,0.3421573477770954,0.45454545454545453,11
info_asymmetry,CoverageBreadth_LowVol,0.07538846306510695,0.4502333435702538,1.4932550687297037,0.7272727272727273,11
info_asymmetry,CoverageBreadth_HighVol,0.09198964686243695,0.9363705591103204,3.1055898093042344,0.9090909090909091,11
macro_cycle,CoverageBreadth_Bull,0.02045595212629027,0.15733413090726944,1.3350243705194664,0.5555555555555556,72
macro_cycle,CoverageBreadth_Bear,0.042518753863765885,0.4581203997260636,1.5869756166186106,0.75,12
macro_cycle,CoverageBreadth_Sideways,0.032850185028168076,0.28678879507714977,1.9869310564603302,0.5208333333333334,48
composite,Breadth,0.05874687642774414,0.4059690269789485,1.3464469389948408,0.5454545454545454,11
composite,BM,-0.15874491216643127,-0.9571993619267118,-3.174671133078503,0.18181818181818182,11
composite,Breadth+BM,-0.07331232028849623,-0.3755037139289306,-1.2454049264872136,0.36363636363636365,11
