fund_code,fund_name,证券代码
013962,华夏创新视野一年持有混合A,013962.OF
004738,摩根安隆回报混合A,004738.OF
012609,安信稳健汇利一年持有混合A,012609.OF
007316,交银可转债债券A,007316.OF
010313,上银鑫恒混合A,010313.OF
017839,银华清洁能源产业混合A,017839.OF
161225.SZ,国投瑞盈LOF,161225.SZ
009490,泰康科技创新一年定开混合,009490.OF
011216,南方优质企业混合A,011216.OF
003218,前海开源祥和债券A,003218.OF
010659,民生加银质量领先混合A,010659.OF
159392.SZ,航空ETF,159392.SZ
166001.SZ,中欧趋势LOF,166001.SZ
017503,达诚致益债券发起式A,017503.OF
016912,恒越均衡优选混合发起式A,016912.OF
001146,中欧瑾源灵活配置混合A,001146.OF
560750.SH,A500ETF申万菱信,560750.SH
012126,宏利新能源股票A,012126.OF
240011,华宝大盘精选混合,240011.OF
020553,南方半导体产业股票发起A,020553.OF
010761,华商甄选回报混合A,010761.OF
000894,中欧睿达6个月持有混合A,000894.OF
010322,大摩新兴产业股票,010322.OF
020853,大成中证芯片产业指数发起式A,020853.OF
005067,融通逆向策略灵活配置混合A,005067.OF
010817,国联安鑫稳3个月持有混合A,010817.OF
017991,华泰柏瑞致远混合A,017991.OF
019270,财通中证1000指数增强A,019270.OF
501063,汇添富悦享两年持有混合,501063.OF
516670.SH,畜牧养殖ETF,516670.SH
000417,国联安新精选混合A,000417.OF
100025,富国天时货币A,100025.OF
519170,浦银安盛增长动力混合A,519170.OF
202105,南方广利回报债券A/B,202105.OF
020015,国泰区位优势混合A,020015.OF
005805,华泰柏瑞医疗健康A,005805.OF
011837,鹏扬中国优质成长混合A,011837.OF
519690,交银稳健配置混合,519690.OF
017146,永赢恒欣稳健养老目标三年持有混合(FOF)A,017146.OF
159633.SZ,中证1000ETF易方达,159633.SZ
519753,交银安心收益债券A,519753.OF
010115,易方达远见成长混合A,010115.OF
007152,诺德策略精选,007152.OF
003044,东方红战略精选混合A,003044.OF
021593,上银数字经济混合发起式A,021593.OF
012543,嘉实中证新能源汽车指数A,012543.OF
019505,国泰君安中证1000优选股票发起A,019505.OF
014634,景顺长城ESG量化股票A,014634.OF
005386,银河睿达混合A,005386.OF
015703,易米开泰混合A,015703.OF
516390.SH,新能源汽车ETF,516390.SH
022849,招商中证A50指数增强发起式A,022849.OF
012717,易方达中证科技50联接A,012717.OF
006181,格林伯锐灵活配置A,006181.OF
001511,兴全新视野定期开放混合型发起式,001511.OF
018549,金鹰研究驱动混合A,018549.OF
